# UVnck7nWaB4: semantic sentence/utterance endings after OPENING.
# Authored by the assistant after reading the complete supplied transcript.
# Exact source-word suffix | punctuation. No words are rewritten or removed.
that's just a witnessing the whole thing|.
analyzing the shape charge|.
over here we've got the shimatsu|.
to see the cone fly out|.
might run it faster today|.
and then maybe push up to 400|.
nice thin slip|.
get an idea for exposure|.
Y into a lovely block of ballistic gel|.
that's right|.
rather than the 10% we used before|.
so oh solid meaty|.
I just have no idea of what's going to happen|.
it stretches out massively|.
yeah but I don't really know if this is going to do this|.
obviously way more velocity but there's not a lot of mass|.
there's less MK but there'll be more pressure|.
yeah so yeah I have no idea|.
you ready|?
ready|.
all right fire in the hole|!
fire in the hole|!
fire in the hole|!
really good pop|.
y wa look what it's done to the table|.
than it has to the thing that it was fired at|.
cuz it's never black on the inside|.
that is cool|.
by the way did it just like dribble out the end|?
it's made a grim looking melty hole in it though|.
oh that looks like that looks like the beginning of a raid in Destiny|.
that's somehow I've walked into that|.
that's somehow the biggest hole we've made|.
look at the pattern here|.
that's the fragmentation patter here|.
yeah super cool|.
that's great|.
I wonder how much it expanded|.
oh yeah let's have a look|.
first shot of the day|.
bloody so fast|!
that was rapid|.
I just I'm so used to bullets|.
I'll be honest I was not expecting that to be gone so quickly|.
wao so is that the tip|?
look how quickly it dims|.
it doesn't have any brightness in there but and it's gone|.
yeah now we're just looking at explosion|.
the brightness is completely gone|.
look at that shock wave in there|.
this rip this bubbling cavitation|.
W that is fascinating|.
a lot of its content is now stuck in this channel|.
but the tip of it even though not Bri here relights|.
it's basically and it's left of it is still going|.
look at how tiny that actual sort of jet point is|.
but it switched back and forth|.
that was really cool|.
that was so cool|.
I love that|.
who have very kindly agreed to sponsor this section of the video|.
privacy and Security based internet browser|.
my favorite feature is the built-in VPN|.
it's right there on the address bar|.
seeing other things on my own network|.
it can also stop them from showing up|.
but it doesn't mess with all the stuff on my own network|.
conveniently it's free and unlimited|.
with real time access to the web to answer questions and generate content|.
my recent unit conversions from metric to American|.
especially when I'm buying props for videos|.
and you can drag the entire Island around which is very convenient|.
Opera priz itself on its smooth browsing experience|.
by clicking the link in the description|.
I'm very thankful for for them sponsoring this video|.
so massive thanks to them|.
now it's time to make two shape charges fight each other|.
okay this is Contender number one in the Red Corner|.
got this guy|.
he's going to go over this hole here|.
all right and we've lined these up with lasers to try and get them as accurate as possible|.
because when they're this far apart the points the very finest points are tiny|.
we're going to try and get the Jets to meet in the middle|.
just going to go straight for it|?
yep|.
good luck|.
fire in the hole|!
fire in the hole|!
fire in the hole|!
very satisfying|.
did you hear like a|?
oh what was that|?
maybe it was some sort of Ricochet or something|.
something spinning maybe|.
oh goodness|.
oh they've been hit on the side|.
what's happened here|?
they must have hit because or something cuz there's two holes|.
there's there's three sort of holes here|.
and then I wonder if that's just one here|.
whether there was like an impact that caused them to split and go slightly deviated|.
this is this is interesting|.
yeah this is like a larger kind of like sideways hole|.
like it looks like it's been sort of|.
technically it should be just one straight hole right|?
but there's three separate ones and one like one here and dear dear|.
look at our absolute battery of [Laughter] cameras|.
Oh it's over|.
was that like one frame|?
oh look at that Bloody massive piece of shrap that just digs out of the slabber there|.
yeah there's a lot more shrap than I thought there would be actually|.
playing back ready|?
yep|.
wa what|?
that is instant|.
look at that|.
why is it blue|?
is that what is that|?
it might just be like a certain wavelength of light|.
that is JJ|.
that is like two death stars like a quick draw with two death stars|.
know when someone gets like uh when Thor gets like sucked up by the the bridge|?
that's what it looks like|.
the bifrost|.
yeah he looks like a bifrost|.
h know like Thor just about to step out of it|.
that is absolutely|.
so let's see what we can see|.
there's shock waves that are coming from the entire width of that|.
they're coming they're like meeting|.
oh yeah it's like a sausage shock|.
hold on you can see if you rewind it and play back the the blue Parts with the the flaring you can see them going past each other|.
it actually they it does get brighter|.
they did they collided in the middle|.
they did otherwise it would have stayed the same brightness|.
yeah but then still some of it carried on|.
like we didn't completely Collide them both|.
there was still lots of stuff carrying on cuz you can see it the opposite side|.
so definitely want to go tight on that and underexpose|.
and I wonder if we'll see any impact|.
I think it's still going to be too bright but I'll try and underexpose it|.
I can't believe that|.
I want to do it again|.
let's do it again|.
all right cool|.
yeah and there's that one that we saw plink off the off the rock making some new dents|.
should we uh sign it|?
I should you should write your name by it|.
yeah look like a radial blur|.
what's all this here|?
this is all oh again fragment like that's where the the V was welded on to hold it|.
yeah it seems that we put little V's on here to hold the shape charger they just shared off immediately|.
they've just beded down|.
oh no this one got Reed|.
this TMX just took it in the mouth|.
that is wild|.
did any of the other|?
oh this one|.
wow it's so deep in|.
it's like they've got the perfect width|.
they know what they're doing|.
oh you can feel it|.
can you|?
it's bulged the inside|.
it's bulged it's bulged by like that|.
that's scary close|.
it just shows you that how much sheer fragmentation is in the back of the shape charge|.
the the cylinder all of this sandbag stuff all that there|.
yeah it's just a mess making|.
it's basically a frag grenade that fires a bullet essentially|.
yeah it's a frag grenade that fires one focused bullet basically|.
yeah nothing on the screen whatsoever|.
complete pitch black|.
375,000 FPS 333 nond exposure|.
okay and I I've just not I think it's going to still be too right|.
wow that is a nice speed though|.
that's am amazing|.
it actually they kind of just brush each other don't they|?
wow and then and I love the uh the shape charge hitting the cloud at the back and lighting it up like back lighting the explosive the other side|.
and look how just dark the regular explosion is|.
it's immediately gone out|.
this stays bright all the way through like all the way to the other side|.
I love how it gets brighter when they coll when they Collide right|?
it doubles the brightness|.
look what's quite interesting is that as we get a shorter duration exposure the glow from the jet is skinnier|.
yeah so like as we stop down we're even though we're in the same place we're just going to get a more narrow jet|.
so I'm going to have to push this camera|.
the lowest I can go on shutter speed is 95 NS|.
95|.
the rest will have to be done in the lens|.
I'm already at f8|.
I'm going have to go to F22 and then that's it|.
then we're into like neutral density territory which I've never used for slowmo|.
I've never end slow-mo before|.
so this is going to be the darkest you've ever gone|?
like the this will be the darkest this camera can go|.
this is amazing|.
absolutely incredible|.
oh wow here we go|.
oh they just missed each other|.
wao what's happening there|?
I've seen this on other cameras actually|.
if if the subject is too bright it just inverses the value of the pixel like it rolls over from 255 to zero|.
so that actually might be the brightest area of the image|.
like a negative|.
yeah I think that's just the exact points of collision|.
we need to drastically reduce the light intake of both cameras here|.
the um shimatsu will now be at 200 nond exposure but F32 and six stops of neutral density|.
so if we lose it on this we'll hope get it there|.
okay so back to a 375,000 frames a second|.
shut it all the way down to 95 NS and the lens all the way down to F22|.
we're throwing all of our equipment of this|.
all of it|.
if I can't film it like this I can't film it|.
I need to go shopping|.
all right just s to the shops|.
yeah get some bed D's|.
okay are you ready|?
I am ready|.
okay far in the hole|!
far in the hole|!
far|!
no we got to check if the camera survived as well|.
yeah cuz last time there was lots of bits|.
camera survival Priority One|.
yeah footage retention priority two|.
yeah what's priority three|?
lunch|.
[Applause] yeah|.
what a silly problem|.
it should be some sort of software on there that does it for you|.
there is but need the soft|.
oh wa you really pick up more detail there don't you|?
see all of this stuff that's now orange was Pure White before|.
and and it's still do you know when someone gets out like a flaming sword|?
yeah|.
